,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60,selection_score
0,SH600377,0.05981568433904886,1.0,0.028759599,0.05837444216012955,0.05837444216012955,SH600377,宁沪高速,2026-05-28,-0.007917685,0.017418815,-0.45454788,0.008709407,0.5,0.0007917223,0.045452133,-0.01583537,-0.90909576,1.0079808,1.0167598,0.99920195,1.0071957,0.98485184,0.9872668,0.95762897,0.918551,0.95762897,0.99358946,0.9877058,0.98356754,0.97260153,0.9670582,0.013020913,0.011418841,0.01053143,0.02061292,0.022821546,0.0072008865,0.0029165382,0.0012064726,0.0020140924,0.00030920276,0.76459074,0.59800214,0.45933366,0.7399143,0.0559882,-0.007991222,-0.0008302411,0.0049709957,-0.0018058834,0.023820333,1.0167598,1.0167598,1.0167598,1.0167598,1.0167598,0.9704039,0.9704039,0.95455974,0.9170553,0.9153589,1.0017563,0.99806803,0.9906477,0.9874424,0.9872668,0.9841493,0.9778266,0.9748847,0.9602635,0.94753015,0.8,0.9,0.95,0.96666664,0.98333335,0.6384539,0.6384539,0.73055017,0.8319053,0.8347176,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.05,0.033333335,0.5,0.8,0.4,0.95,0.96666664,0.5,0.89357483,0.62925565,0.2675933,0.37210947,0.107262455,0.745018,0.24080066,0.6061481,0.5949479,0.27935556,0.6,0.5,0.55,0.6,0.56666666,0.4,0.5,0.45,0.4,0.41666666,0.2,0.0,0.1,0.2,0.15,0.64556926,0.56971127,0.63310343,0.67191833,0.538927,0.3544307,0.43028873,0.3668966,0.32808167,0.46107298,0.29113856,0.13942254,0.26620683,0.34383667,0.077854015,0.9332695,0.92289877,1.0062174,0.9918701,1.1591235,0.15557599,0.11412425,0.2547473,0.30496132,0.40164265,0.20734492,0.423736,0.85955167,0.991717,1.0254376,0.61796963,0.5856067,0.516753,0.5242698,0.49989653,0.38203034,0.41439328,0.483247,0.47573018,0.5001035,0.23593931,0.17121342,0.03350599,0.048539653,-0.0002069723,2.384022639372809
1,SH600018,0.036074185590248886,0.875,0.021201372,-0.0067996252328157425,0.0067996252328157425,SH600018,上港集团,2026-05-28,-0.0039682537,0.0099206865,-0.39999786,0.0039682537,0.39999786,0.0019841797,0.20000428,-0.0059523275,-0.59999144,1.0039841,1.0079681,0.9980079,1.0022995,1.0141343,1.0176678,0.9693757,0.9941107,1.0141343,1.0089517,1.0124853,1.0094228,1.0002748,1.0075971,0.007096499,0.0075358106,0.013043469,0.017605942,0.017356213,-0.004358054,-0.0014990887,0.000898004,0.0013895812,-0.00031454192,0.94283766,0.36274892,0.16589694,0.482782,0.10017214,-0.00023555497,-0.0057393336,-0.017953848,-0.020423727,0.0016818533,1.021737,1.028081,1.028081,1.028081,1.0449219,0.9980079,0.9980079,0.96730363,0.96730363,0.96730363,1.0129564,1.0176678,1.0176678,1.0176678,1.0212014,1.0028268,1.0063604,1.0028268,0.981861,0.9941107,0.2,0.1,0.2,0.46666667,0.325,0.08395118,0.066241264,0.53796893,0.53796893,0.42124596,0.4,0.5,0.75,0.8333333,0.033333335,1.0,1.0,0.05,0.36666667,0.68333334,-0.6,-0.5,0.7,0.46666667,-0.65,0.1384197,0.5164099,0.44793653,0.43910474,0.44451788,-0.57011026,0.505043,0.47342816,0.14704853,-0.082228206,0.2,0.2,0.4,0.36666667,0.4,0.6,0.7,0.45,0.53333336,0.53333336,-0.4,-0.5,-0.05,-0.16666667,-0.13333334,0.16666584,0.3584906,0.62500024,0.5167786,0.48445597,0.83333415,0.6415094,0.3749998,0.4832214,0.51554406,-0.66666836,-0.2830188,0.25000045,0.033557195,-0.031088058,1.0619084,1.2193474,1.2927085,1.1981454,1.4164042,0.09068125,0.2485638,0.3669889,0.4165189,0.6886312,0.7575803,1.0674368,1.0427493,1.0305482,1.3296133,0.31785536,0.38096827,0.5118622,0.50636506,0.47225437,0.68214464,0.6190317,0.4881378,0.49363494,0.5277456,-0.3642893,-0.23806348,0.02372438,0.012730124,-0.05549126,1.9624549055415768
2,SH601995,0.02709325994877347,0.9583333333333334,0.011046529,0.021903979576584638,0.021903979576584638,SH601995,中金公司,2026-05-28,-0.017347872,0.02087623,-0.8309868,0.0005880384,0.028167846,0.0029403204,0.14084537,-0.01499559,-0.7183092,1.0176542,1.0182526,0.9970078,1.0056446,1.0215117,1.0258721,1.018314,0.9997093,1.0369186,1.0148838,1.0163662,1.0242151,1.020562,1.0098401,0.011302518,0.010992028,0.011884454,0.011575146,0.022749076,-0.001337211,4.0519764e-05,-0.0010709919,0.00022466775,0.00025999633,0.034993675,0.00012456317,0.28423786,0.029196464,0.039838847,-0.012209317,-0.01654864,-0.014040716,-0.023819722,-0.017510032,1.0404321,1.0457479,1.0457479,1.0457479,1.0531168,0.9970078,0.9970078,0.9970078,0.9938723,0.95516425,1.0216861,1.028314,1.0316279,1.0294768,1.0275,1.0062791,1.0061629,1.0155233,1.0092442,0.98389536,0.2,0.1,0.05,0.033333335,0.26666668,0.06890675,0.06139155,0.06139155,0.11812326,0.4577292,0.6,0.5,0.75,0.8333333,0.033333335,1.0,1.0,1.0,0.033333335,0.43333334,-0.4,-0.5,-0.25,0.8,-0.4,0.25592822,0.45212582,0.23535225,0.49909717,0.5380064,0.4193449,0.40756738,0.4229888,0.4920338,0.31416744,0.4,0.3,0.4,0.46666667,0.45,0.6,0.7,0.55,0.5,0.51666665,-0.2,-0.4,-0.15,-0.033333335,-0.06666667,0.33333367,0.39066347,0.45146382,0.50059307,0.46356857,0.6666663,0.60933656,0.5485362,0.4994069,0.53643143,-0.33333266,-0.21867307,-0.09707234,0.0011861884,-0.072862834,0.99115634,1.0159485,0.99514073,0.90397596,0.8719213,0.2574314,0.25438347,0.22593608,0.2424888,0.32699397,0.4194727,0.73418206,0.8108796,0.91704935,1.1899343,0.39523825,0.5302157,0.5200477,0.51532024,0.5077456,0.6047617,0.46978435,0.4799523,0.48467976,0.4922544,-0.20952348,0.060431313,0.040095408,0.030640488,0.015491211,1.9254894915434124
3,SH601988,0.035682016828756734,0.875,0.008660793,0.024289715088364423,0.024289715088364423,SH601988,中国银行,2026-05-28,-0.0051369746,0.02397265,-0.21428482,0.015410984,0.64285696,0.0034246896,0.1428582,-0.017123269,-0.7142836,1.0051636,1.0206541,0.99655765,1.0075446,0.99866754,0.9913391,0.9913391,0.9793471,0.9087275,1.00986,1.0025983,0.9947368,0.9967799,0.9758494,0.0070411596,0.0105406735,0.012077212,0.011814663,0.031880576,-0.0025982508,0.0017483281,0.0012583075,0.00012909401,0.0014490109,0.34041893,0.25218576,0.37993407,0.009252758,0.63007295,-0.004663548,-0.0104657095,-0.0066907364,0.0013482383,-0.018595226,1.0297135,1.0297135,1.0297135,1.0297135,1.0297135,0.9828419,0.97456175,0.96596164,0.96596164,0.90372896,1.0162557,1.0101265,1.0041305,1.0057296,1.0019987,1.0058627,0.9966689,0.98241174,0.9862758,0.93977344,0.2,0.5,0.725,0.6666667,0.76666665,0.36606628,0.46124107,0.5339199,0.5339199,0.7641498,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.5,0.35,0.56666666,0.016666668,0.6,0.4,0.6,0.4,0.96666664,0.036647666,0.48148632,0.51590866,0.27876842,-0.06847999,-0.15609403,0.580831,0.43230054,0.5215998,0.44985688,0.6,0.6,0.45,0.43333334,0.48333332,0.4,0.3,0.45,0.46666667,0.41666666,0.2,0.3,0.0,-0.033333335,0.06666667,0.5185189,0.5496184,0.531401,0.5479877,0.5942229,0.48148105,0.45038158,0.46859902,0.45201233,0.40577713,0.037037905,0.09923683,0.062801965,0.09597534,0.18844576,1.0278599,0.9885703,0.899899,0.8318835,0.95174,0.09851578,0.154871,0.18022157,0.19113372,0.3341687,0.5222018,0.7555758,0.84298867,0.9060786,1.3994904,0.3291893,0.4940233,0.55112344,0.5248654,0.514987,0.6708107,0.5059767,0.44887653,0.47513464,0.485013,-0.3416214,-0.011953409,0.10224692,0.04973074,0.029974004,1.8942246972459804
4,SH601939,0.03640023922270809,0.9583333333333334,-0.0127135515,0.03213341255850925,0.03213341255850925,SH601939,建设银行,2026-05-28,-0.010784314,0.027450915,-0.3928581,0.008823471,0.32142723,0.00784313,0.28571472,-0.011764655,-0.4285706,1.0109019,1.0198215,0.9920714,1.0022204,0.996027,0.965435,0.9594756,0.9237187,0.8514104,1.0082638,0.9938418,0.9792809,0.97067934,0.94253737,0.009165467,0.017965287,0.020786317,0.023098137,0.03614738,0.00055622513,0.005092647,0.0025107472,0.0020560522,0.0019064582,0.009207295,0.73659754,0.5106448,0.61406744,0.8484002,-0.009376244,-0.016758766,-0.0031329624,-0.00049211294,0.001222095,1.0359107,1.0359107,1.0359107,1.0359107,1.0359107,0.9774012,0.9525653,0.9406266,0.91877156,0.84449667,1.014859,1.006754,1.0002384,0.98808104,0.97155344,1.0009536,0.97560585,0.9618593,0.9539134,0.91235596,0.2,0.6,0.8,0.8666667,0.93333334,0.3862412,0.5691337,0.6231194,0.6934353,0.8123924,0.8,0.9,0.95,0.96666664,0.98333335,0.2,0.1,0.35,0.033333335,0.016666668,0.6,0.8,0.6,0.93333334,0.96666664,0.6075478,0.59588295,0.5705687,0.50876826,-0.023692012,0.60899824,0.7727071,0.52533,0.60318774,0.40552717,0.6,0.6,0.55,0.53333336,0.6,0.4,0.4,0.45,0.46666667,0.38333333,0.2,0.2,0.1,0.06666667,0.21666667,0.5416669,0.6629216,0.60944206,0.6432836,0.63770247,0.45833305,0.33707836,0.39055794,0.3567164,0.36229753,0.0833339,0.32584324,0.21888413,0.28656718,0.27540493,1.3059723,1.2334102,1.1550567,1.0762349,1.1276169,0.30081695,0.35707042,0.37256384,0.37348163,0.3781216,0.638697,0.7462904,0.8093424,1.0385624,0.9722078,0.2993749,0.48715073,0.52524406,0.5084904,0.4990837,0.70062506,0.5128493,0.4747559,0.49150962,0.5009163,-0.40125015,-0.025698572,0.05048817,0.016980747,-0.0018326131,1.8930634845289798
5,SH603369,0.043069054218018,0.9583333333333334,0.038081884,-0.02553086455408679,0.02553086455408679,SH603369,今世缘,2026-05-28,-0.00034250625,0.031849325,-0.010753957,0.028082166,0.88171935,0.0034246526,0.1075267,-0.025000019,-0.7849466,1.0003426,1.0284344,0.99657416,1.0106965,0.96614957,0.9831923,0.89351207,0.89421725,1.0706394,0.9750823,0.967795,0.961642,0.9392376,0.94915766,0.036555544,0.02614264,0.027960034,0.040013764,0.045116697,0.020756936,0.005284152,0.0025602616,0.0037290296,-0.0006652319,0.8060463,0.37450978,0.29346836,0.67309225,0.066308826,-0.016596168,0.008426273,0.014035504,0.0066914614,0.07046666,1.0346454,1.0346454,1.0346454,1.0346454,1.0654564,0.9089295,0.9089295,0.8839166,0.86818886,0.86818886,1.0043254,0.977245,0.98389757,0.9685473,0.99694407,0.95195115,0.9550776,0.9443818,0.89840156,0.90270334,0.8,0.9,0.95,0.96666664,0.8333333,0.7244148,0.7244148,0.7701473,0.79186505,0.6681849,0.8,0.9,0.95,0.96666664,0.016666668,0.4,0.7,0.05,0.23333333,0.6166667,0.4,0.2,0.9,0.73333335,-0.6,0.904373,0.7561602,0.6361396,0.6504045,-0.001206459,0.7728477,0.7356185,0.8017391,0.68996966,0.3997506,0.6,0.6,0.55,0.56666666,0.48333332,0.4,0.4,0.45,0.43333334,0.51666665,0.2,0.2,0.1,0.13333334,-0.033333335,0.6104292,0.53965604,0.6355474,0.6058325,0.46336704,0.38957077,0.46034396,0.3644526,0.3941675,0.53663296,0.22085845,0.079312064,0.27109483,0.21166499,-0.073265895,1.0035645,0.81300646,0.83089936,0.7466116,0.573629,0.37654322,0.33549124,0.33880925,0.33814278,0.31107974,0.9126361,1.2103822,1.350704,1.453969,1.5545037,0.59478325,0.479216,0.53570586,0.5414108,0.52755517,0.40521675,0.520784,0.4642941,0.45858917,0.4724448,0.1895665,-0.041568007,0.07141177,0.08282165,0.055110373,1.8229079353788367
6,SZ000333,0.031235464246002608,0.875,0.02405119,0.0021863426846159897,0.0021863426846159897,,,2026-05-28,-0.008165814,0.014698465,-0.5555556,0.0022613232,0.15384756,0.0042713284,0.29059687,-0.006155809,-0.41880623,1.0082331,1.010513,0.9956935,1.0014114,1.0322928,1.0362228,1.0069616,0.95984733,0.9960701,1.0098002,1.0234538,1.0224658,1.0143334,0.98850554,0.006456334,0.016407402,0.012479927,0.017358804,0.030832995,-0.0030900554,-0.0050450154,-0.0004586242,0.0011001575,0.0013814182,0.5726649,0.86667603,0.047266986,0.3112948,0.6122359,-0.0036200425,-0.0007513007,-0.01810884,-0.030285705,-0.029257357,1.0386285,1.0568618,1.0568618,1.0568618,1.0568618,0.9956935,0.9956935,0.9956935,0.9562941,0.90904725,1.0143095,1.0350057,1.0322928,1.027752,1.0181541,1.0060723,1.0102314,1.0131192,1.0064541,0.96576697,0.2,0.1,0.05,0.16666667,0.5833333,0.10030277,0.0704041,0.0704041,0.43459195,0.61531687,0.2,0.2,0.6,0.73333335,0.8666667,1.0,1.0,1.0,0.033333335,0.35,-0.8,-0.8,-0.4,0.7,0.51666665,0.6396341,0.91024554,0.63027704,0.68026054,0.3163479,0.23120075,0.31747377,0.3432443,0.38565117,0.049077973,0.2,0.4,0.5,0.53333336,0.48333332,0.8,0.5,0.45,0.43333334,0.5,-0.6,-0.1,0.05,0.1,-0.016666668,0.13686903,0.29154888,0.47938287,0.5865774,0.50366455,0.863131,0.7084511,0.5206171,0.41342258,0.49633542,-0.726262,-0.41690224,-0.041234236,0.17315485,0.007329153,1.0611395,1.2550385,1.3542347,1.2504543,1.1682489,0.12779982,0.26301447,0.24185577,0.26359785,0.3753142,0.6851148,0.8580078,0.71788365,0.7582493,1.801876,0.20676121,0.24748428,0.48990208,0.52180934,0.50530684,0.79323876,0.75251573,0.5100979,0.47819066,0.49469316,-0.5864776,-0.5050314,-0.020195836,0.043618653,0.010613662,1.8100803994636459
7,SH600919,0.026481870834420804,0.8333333333333334,0.012868643,0.02632956951856613,0.02632956951856613,SH600919,江苏银行,2026-05-28,0.0017968997,0.019766474,0.090906434,0.01437566,0.72727484,0.003593915,0.18181871,-0.008984845,-0.4545497,0.9982063,1.0143498,0.99461883,1.0049757,1.0128686,1.0048258,1.0080429,0.96943706,0.9281502,0.99785525,1.0003754,1.0065148,1.0015371,0.98173374,0.003958373,0.0066349963,0.00881617,0.013338269,0.02457975,0.0003217028,-0.0003347228,-0.001110686,0.0005093532,0.0011998268,0.01651263,0.023329245,0.5555085,0.113016225,0.72674495,0.0015013412,0.0011308711,0.0040367288,-0.008922752,-0.01712863,1.0143498,1.0200459,1.027754,1.027754,1.027754,0.9820629,0.9820629,0.9820629,0.96692157,0.9218453,1.0,1.0034317,1.0134048,1.0128686,1.0055765,0.9968901,0.9968901,1.0,0.99077755,0.9662199,0.8,0.5,0.25,0.36666667,0.68333334,0.55555236,0.47224137,0.39257362,0.5437634,0.7379443,1.0,0.5,0.4,0.6,0.8,0.8,0.9,0.95,0.033333335,0.016666668,0.2,-0.4,-0.55,0.56666666,0.78333336,-0.09550571,0.31231156,-0.10289762,0.34121823,-0.20980227,-0.26085547,0.46593058,0.31186664,0.4547721,0.06372575,0.4,0.4,0.4,0.46666667,0.48333332,0.4,0.5,0.55,0.5,0.45,0.0,-0.1,-0.15,-0.033333335,0.033333335,0.31249812,0.4697984,0.47104234,0.569682,0.5805288,0.6875019,0.5302016,0.52895766,0.43031797,0.41947123,-0.37500378,-0.060403246,-0.057915322,0.13936403,0.16105756,0.94747293,0.89695877,0.85427654,0.8190096,0.87103087,0.10117408,0.14481351,0.1754728,0.18444987,0.24024591,0.9200387,0.76210034,0.7218241,0.75704783,1.3590187,0.39423117,0.55434513,0.54439276,0.5398511,0.50697076,0.6057688,0.4456549,0.4556072,0.46014887,0.49302924,-0.21153763,0.1086902,0.08878558,0.07970227,0.013941538,1.74484410739632
8,SH601838,0.03064560260902039,0.875,0.009181261,0.008971356066731943,0.008971356066731943,SH601838,成都银行,2026-05-28,0.0032662349,0.011976041,0.27273077,0.007621092,0.63636154,0.0010887142,0.09090769,-0.0032661427,-0.27272308,0.9967444,1.0075963,0.99565923,1.0033566,1.0175976,1.0175976,1.0007651,0.9349656,0.8775822,1.0,1.0061591,1.0173297,0.9981892,0.96275187,0.0042340974,0.008983402,0.014114005,0.032961205,0.04329335,-0.0009946364,-0.0017458432,-0.0019703037,0.002249545,0.002147051,0.13795803,0.34621057,0.6820777,0.36098146,0.75013983,0.0019892913,0.0016971683,0.0013881408,-0.030807624,-0.026089847,1.0153463,1.0243659,1.0445884,1.0445884,1.0445884,0.98905176,0.98905176,0.98905176,0.92899656,0.87183756,1.0024483,1.0159143,1.0288447,1.0271614,1.0159143,0.99686307,0.99762815,1.0012242,0.95845443,0.927238,0.6,0.4,0.2,0.43333334,0.71666664,0.4163689,0.31002447,0.19713528,0.61425996,0.74189186,0.2,0.1,0.4,0.6,0.8,0.6,0.8,0.9,0.13333334,0.016666668,-0.4,-0.7,-0.5,0.46666667,0.78333336,-0.62917507,-0.33224797,0.2638379,0.24842581,-0.18332475,-0.4187702,-0.22458208,-0.07542812,0.35798013,0.39901304,0.4,0.4,0.45,0.53333336,0.53333336,0.6,0.6,0.55,0.46666667,0.46666667,-0.2,-0.2,-0.1,0.06666667,0.06666667,0.25531834,0.39252317,0.49765265,0.62686574,0.6275917,0.74468166,0.60747683,0.50234735,0.37313426,0.37240824,-0.48936334,-0.21495365,-0.004694672,0.2537315,0.25518352,1.0869932,1.1025244,1.2088168,1.2679908,1.4083697,0.0787474,0.221831,0.28330815,0.51319677,0.62767965,0.5421341,0.94299775,0.85326767,1.4899999,1.663459,0.41615176,0.44958565,0.44863436,0.50263035,0.49621338,0.58384824,0.5504143,0.5513656,0.49736965,0.5037866,-0.16769646,-0.100828685,-0.102731265,0.0052607055,-0.0075732186,1.734378718287946
9,SH601066,0.02842860799951362,0.9166666666666666,0.056100488,-0.018795713782310486,0.018795713782310486,SH601066,中信建投,2026-05-28,-0.016184034,0.026405498,-0.61290395,0.0063884156,0.24193504,0.0038330492,0.14516103,-0.0187394,-0.70967793,1.0164503,1.0229437,0.9961039,1.0068034,0.9815614,0.97332287,0.92781484,0.94939196,1.0325618,0.9958415,0.9808553,0.9833857,0.9693998,0.9675886,0.033277787,0.027982257,0.02427768,0.02848864,0.031086383,0.015025487,0.0070092836,0.0008409606,0.0020258764,-8.178694e-05,0.50966907,0.575166,0.041995715,0.39190802,0.00211119,-0.025892504,-0.012397039,0.008625208,0.0012250005,0.03482409,1.0439564,1.0439564,1.0439564,1.0439564,1.0439564,0.94993263,0.94823855,0.9287452,0.92348534,0.9047767,1.0271479,1.0054139,1.0,0.99811697,0.99772465,0.96822286,0.95927817,0.9593566,0.94484115,0.9387211,0.6,0.8,0.8,0.8666667,0.85833335,0.5324971,0.5407711,0.6184712,0.6351291,0.6841753,0.6,0.8,0.9,0.93333334,0.96666664,0.2,0.3,0.05,0.3,0.43333334,0.4,0.5,0.85,0.6333333,0.53333336,0.7944173,0.8237823,0.68856853,0.83184576,0.60306865,0.7820989,0.75870764,0.74205136,0.744273,0.53877133,0.6,0.6,0.55,0.46666667,0.48333332,0.4,0.4,0.45,0.5,0.5,0.2,0.2,0.1,-0.033333335,-0.016666668,0.57014906,0.5769231,0.61734694,0.5740528,0.4748941,0.4298509,0.42307693,0.38265306,0.4259472,0.5251059,0.14029817,0.15384611,0.23469387,0.14810562,-0.050211757,1.2079664,0.87320095,0.76978743,0.60766995,0.48794946,0.7076685,0.6273782,0.5023001,0.4695192,0.3645797,1.3709832,1.8015953,1.8137091,2.2375538,2.367573,0.48736122,0.5624164,0.5520522,0.539753,0.52654856,0.51263875,0.43758366,0.4479478,0.46024698,0.47345147,-0.025277538,0.1248327,0.10410439,0.07950605,0.053097095,1.6743306980845523
