,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SH603986,0.42335651236327754,1.0,-0.027144551,0.652056872844696,0.652056872844696,SH603986,兆易创新,2026-07-07,-0.007999987,0.06271999,-0.12755083,0.033920024,0.5408168,0.020799981,0.3316324,-0.02112003,-0.33673522,1.0080645,1.042258,0.9790323,1.0094525,1.3145164,1.0338544,0.7645332,0.8304085,0.4122414,1.1028647,1.1813198,1.03766,0.95610946,0.7507797,0.0915244,0.11667333,0.1881628,0.19339707,0.25811657,-0.0555712,-0.024946012,0.023095125,0.01759726,0.013849543,0.92164934,0.4190545,0.52727985,0.6416409,0.87808985,0.008277666,-0.06906283,-0.25706375,-0.21126977,-0.1593412,1.3602924,1.3655802,1.3655802,1.3655802,1.3655802,0.9790323,0.9790323,0.7596767,0.72275734,0.3928163,1.1455643,1.263176,1.2425854,1.123977,1.0029036,1.0442457,1.0856028,0.8298393,0.77853984,0.4948528,0.2,0.1,0.4,0.6,0.8,0.054995846,0.054243524,0.39663628,0.43128935,0.624184,0.2,0.4,0.7,0.8,0.9,1.0,1.0,0.15,0.2,0.016666668,-0.8,-0.6,0.55,0.6,0.8833333,-0.106743604,-0.37744713,0.5582554,0.19744787,0.3926378,0.6567659,0.05863042,0.1327135,0.19739334,0.25467372,0.0,0.3,0.5,0.5,0.6,1.0,0.7,0.5,0.5,0.4,-1.0,-0.4,0.0,0.0,0.2,0.0,0.47556096,0.5990148,0.55681247,0.6360772,1.0,0.52443904,0.4009852,0.4431875,0.3639228,-1.0,-0.048878063,0.19802961,0.11362498,0.27215442,1.0599462,1.0325756,0.96577936,1.0078733,0.965127,0.13296346,0.11762078,0.1762149,0.1728336,0.192111,0.4122527,0.6017555,0.6449823,0.66951,0.7694804,0.57232976,0.44518217,0.529722,0.47874975,0.47422808,0.4276702,0.55481786,0.47027802,0.52125025,0.5257719,0.14465958,-0.10963566,0.05944392,-0.042500492,-0.051543847
1,SH600522,0.2817237889138569,1.0,-0.050989926,0.47424665093421936,0.47424665093421936,SH600522,中天科技,2026-07-07,-0.013975795,0.04171874,-0.33500043,0.015435894,0.36999905,0.01230705,0.29500052,-0.017104639,-0.40999895,1.0141739,1.0298285,0.9875185,1.011085,1.2836931,1.3059158,1.0478119,0.90734243,0.6494738,1.0684149,1.1917511,1.1679841,1.0826973,0.9288334,0.0685378,0.14643064,0.121663004,0.16247694,0.21294194,-0.041992508,-0.045469593,0.0009456776,0.012464912,0.010962657,0.9384763,0.88387257,0.0021146433,0.45613843,0.80836797,0.01557006,0.012861989,-0.17696808,-0.26343852,-0.2522318,1.272055,1.4406648,1.4406648,1.4406648,1.4406648,0.98540366,0.98540366,0.98540366,0.7986007,0.58006984,1.1074225,1.299216,1.2862731,1.2481178,1.1020504,1.0128628,1.0531415,1.0580474,0.94271046,0.7243155,0.2,0.1,0.05,0.33333334,0.6666667,0.050920166,0.032061458,0.032061458,0.31367478,0.48795334,0.2,0.2,0.6,0.73333335,0.8666667,0.8,0.9,0.95,0.1,0.1,-0.6,-0.7,-0.35,0.6333333,0.76666665,0.8647793,0.6117531,0.26517335,0.11678828,0.513924,-0.6653587,-0.33081177,-0.08076403,0.2800592,0.33843175,0.0,0.3,0.5,0.56666666,0.56666666,1.0,0.7,0.5,0.43333334,0.43333334,-1.0,-0.4,0.0,0.13333334,0.13333334,0.0,0.26584747,0.4793937,0.5292936,0.5697646,1.0,0.73415256,0.52060634,0.47070643,0.4302354,-1.0,-0.46830508,-0.041212644,0.05858714,0.13952923,1.3809233,1.5104731,1.6194395,1.682108,1.5523169,0.31710723,0.30888632,0.32164437,0.38905522,0.41761822,0.78729814,0.81877744,0.8083923,0.76708883,0.8070207,0.41366217,0.39179626,0.33480987,0.47485414,0.5001749,0.5863378,0.60820377,0.66519016,0.5251458,0.4998251,-0.17267567,-0.21640748,-0.3303803,-0.050291717,0.0003497988
2,SH600176,0.27645473175497387,0.9583333333333334,-0.065666616,0.5065603256225586,0.5065603256225586,SH600176,中国巨石,2026-07-07,-0.05317972,0.086476214,-0.6149636,0.013255485,0.15328476,0.020041008,0.23175168,-0.0463942,-0.53649664,1.0561666,1.0701667,0.9788334,1.0188992,1.214671,0.98216695,0.5926637,0.65397877,0.45373642,1.1093329,1.1440008,0.97365916,0.8670168,0.719829,0.0767312,0.07436167,0.2030043,0.22589007,0.21960352,-0.04091623,-0.012171991,0.029322693,0.022520855,0.010712911,0.7108653,0.24560454,0.73023945,0.77033067,0.7258322,-0.027500495,-0.08922682,-0.2522247,-0.1935692,-0.03585989,1.2504964,1.2866702,1.2866702,1.2866702,1.2866702,0.9788334,0.9625007,0.6166659,0.5688305,0.4379775,1.1732641,1.1893326,1.1803359,1.1385007,0.92259943,1.0507995,1.0769672,0.74897015,0.6512654,0.5560266,0.2,0.1,0.55,0.7,0.85,0.07791506,0.115678005,0.57213676,0.6006487,0.66222143,0.2,0.3,0.65,0.76666665,0.8833333,1.0,0.1,0.05,0.33333334,0.016666668,-0.8,0.2,0.6,0.43333334,0.8666667,-0.30677167,0.24835989,0.26384142,0.5115076,0.6366634,0.6114011,0.08157149,-0.12661515,0.02869385,0.0090870205,0.2,0.5,0.7,0.6,0.68333334,0.8,0.5,0.3,0.4,0.31666666,-0.6,0.0,0.4,0.2,0.36666667,0.16175963,0.5136231,0.6884637,0.62622243,0.6452969,0.8382404,0.4863769,0.31153628,0.3737776,0.35470316,-0.6764807,0.027246185,0.37692744,0.2524448,0.29059368,0.9825934,0.9957609,0.9696823,0.90389806,0.79478294,0.11536702,0.11867233,0.15372556,0.1757778,0.18769255,0.5874939,0.4842783,0.5804762,0.653697,0.8547471,0.46897566,0.46296757,0.55741644,0.52336663,0.52739316,0.53102434,0.5370324,0.44258356,0.47663334,0.4726068,-0.062048685,-0.07406488,0.114832886,0.04673331,0.054786377
3,SH600183,0.22156339831072672,0.8333333333333334,-0.035222232,0.33598068356513977,0.33598068356513977,SH600183,生益科技,2026-07-07,-0.022180384,0.062649965,-0.35403666,0.014722043,0.23498884,0.025747538,0.4109745,-0.011154888,-0.17805098,1.0226835,1.0377395,0.9736684,1.0026661,1.1500944,1.1134146,0.8891648,0.76853406,0.38901618,1.0380951,1.107731,1.1035691,1.0371104,0.7870775,0.040030364,0.0827269,0.091828674,0.122384176,0.27465832,-0.017071638,-0.025087688,0.0010895733,0.00941759,0.014991902,0.45468572,0.8430225,0.004927473,0.45891333,0.9087151,-0.003951818,0.0051636174,-0.11392009,-0.17366548,-0.22933862,1.1665405,1.2469273,1.2726662,1.2726662,1.2726662,0.9682919,0.9682919,0.90773994,0.76246613,0.37945408,1.0717206,1.1775539,1.1908852,1.1775539,1.0717206,1.0062599,1.020134,1.0027041,0.9242019,0.5039681,0.2,0.1,0.2,0.46666667,0.73333335,0.1599411,0.113797866,0.25281832,0.46556997,0.69473517,0.2,0.2,0.45,0.6333333,0.81666666,0.6,0.8,0.05,0.033333335,0.016666668,-0.4,-0.6,0.4,0.6,0.8,0.53914726,0.5443204,0.23781045,-0.23134938,0.47990546,0.17604907,-0.24041896,-0.11610819,-0.094687745,0.14770207,0.2,0.4,0.6,0.6333333,0.6666667,0.8,0.6,0.4,0.36666667,0.31666666,-0.6,-0.2,0.2,0.26666668,0.35,0.21915603,0.39024487,0.557185,0.59068143,0.66873235,0.780844,0.60975516,0.442815,0.40931857,0.33126768,-0.56168795,-0.21951027,0.11436999,0.18136288,0.33746463,1.3452462,1.4232067,1.6219325,1.7447667,1.5349014,0.23191492,0.18292873,0.342797,0.3798446,0.3978166,0.5157559,0.4547977,0.7583493,0.70851636,0.84053415,0.26420814,0.17741536,0.45388648,0.46102858,0.48756918,0.73579186,0.8225846,0.5461135,0.5389714,0.5124308,-0.47158375,-0.6451693,-0.09222703,-0.07794286,-0.024861623
4,SZ000725,0.20227265966362495,0.8333333333333334,0.0065045357,0.47156646847724915,0.47156646847724915,,,2026-07-07,-0.010443876,0.05091382,-0.2051285,0.023498671,0.46153817,0.016971273,0.33333334,-0.016971273,-0.33333334,1.0105541,1.0343008,0.9828496,1.0097948,1.1450253,0.89303786,0.8224524,0.68899065,0.526861,1.0973741,1.0633341,0.94426644,0.88041437,0.7173131,0.08535046,0.08511918,0.14222957,0.15041488,0.19725032,-0.049072526,0.010201265,0.020843422,0.015085151,0.0104064755,0.8264281,0.13166326,0.7516684,0.77950585,0.84892964,0.00077091187,-0.10923984,-0.14227897,-0.09914907,-0.024304124,1.2532,1.2532,1.2532,1.2532,1.2532,0.9828496,0.8668193,0.72695076,0.66803175,0.518982,1.1657432,1.1474344,1.0602264,1.0246205,0.88051075,1.0190797,0.99841005,0.79580826,0.74675983,0.54516983,0.2,0.3,0.65,0.76666665,0.8833333,0.06343763,0.34468776,0.51885915,0.5673039,0.65514326,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.2,0.13333334,0.016666668,-0.6,0.6,0.65,0.76666665,0.93333334,0.9530785,0.8069624,0.6867248,0.36290175,0.8151603,0.72435474,0.7963037,0.18618095,0.18645751,0.34438512,0.4,0.7,0.6,0.6,0.56666666,0.6,0.3,0.4,0.4,0.43333334,-0.2,0.4,0.2,0.2,0.13333334,0.21657248,0.60531306,0.59908575,0.6255592,0.6528643,0.78342754,0.3946869,0.40091422,0.3744408,0.34713575,-0.566855,0.21062617,0.19817156,0.25111842,0.30572852,1.4871172,1.4938884,1.308809,1.3568423,0.84863055,0.37509727,0.29408333,0.32027307,0.3239411,0.63484955,0.6698248,0.64303434,0.606861,0.6893758,1.2818012,0.23340416,0.49358997,0.43376347,0.46450993,0.53439283,0.76659584,0.50641,0.5662365,0.53549004,0.46560717,-0.5331917,-0.012820058,-0.13247302,-0.07098013,0.06878565
5,SZ002938,0.20138233353025958,1.0,-0.012299657,0.2747757136821747,0.2747757136821747,,,2026-07-07,-0.021697728,0.067739226,-0.3203126,0.030906027,0.45625007,0.015135472,0.22343734,-0.03746828,-0.5531253,1.022179,1.0537704,0.98452884,1.010351,1.1401416,1.1566343,1.2003355,1.2252144,0.5859113,1.0373462,1.1006336,1.1470928,1.1525562,0.9866039,0.044250354,0.081701845,0.086817324,0.07462209,0.2053699,-0.018579941,-0.023420185,-0.009237639,-0.0034408765,0.009914994,0.4407529,0.75323135,0.39625725,0.16478024,0.71090436,-0.00018638144,0.0047572115,-0.059335236,-0.10266352,-0.27909628,1.2184753,1.2658479,1.3318484,1.3318484,1.3318484,0.98344046,0.98344046,0.98344046,0.98344046,0.57444686,1.0591502,1.161051,1.2249161,1.2050503,1.1743385,1.0007454,1.0249348,1.0835632,1.1056839,0.7959001,0.2,0.1,0.05,0.033333335,0.45,0.0704557,0.058637086,0.0475292,0.0475292,0.5618593,0.2,0.2,0.4,0.6,0.8,0.8,0.9,0.95,0.96666664,0.016666668,-0.6,-0.7,-0.55,-0.36666667,0.78333336,0.2802424,0.5515914,0.5823082,0.5620418,0.3517163,-0.8162211,-0.3030041,-0.020660391,0.15153344,0.14886694,0.2,0.3,0.4,0.43333334,0.55,0.8,0.7,0.6,0.56666666,0.45,-0.6,-0.4,-0.2,-0.13333334,0.1,0.19823447,0.34676397,0.4027501,0.4228338,0.5828486,0.8017655,0.65323603,0.59724987,0.5771662,0.41715136,-0.60353106,-0.30647203,-0.19449976,-0.1543324,0.16569725,1.5672221,1.8252735,1.9951382,2.136382,1.8424088,0.41759583,0.4400539,0.51503336,0.5604344,0.5658193,0.9940433,0.8604153,0.76511544,0.79830205,0.81243926,0.22623453,0.3083101,0.43329433,0.50712115,0.49106672,0.77376544,0.6916899,0.5667057,0.49287888,0.5089333,-0.54753095,-0.38337982,-0.13341135,0.014242239,-0.017866557
6,SH688223,0.18079164576299606,1.0,-0.03761059,0.2842106223106384,0.2842106223106384,SH688223,晶科能源,2026-07-07,-0.017977538,0.035955004,-0.50000095,0.013483136,0.37500024,0.004494333,0.124998815,-0.026966339,-0.7500024,1.0183066,1.0320367,0.9954234,1.013216,1.0884956,1.1128318,1.1615044,1.4668142,1.5176991,1.05177,1.0723451,1.1265486,1.1887906,1.3707228,0.046079356,0.04019073,0.06536498,0.11484358,0.2077632,-0.028761066,-0.01087423,-0.010216914,-0.01235985,-0.010500581,0.97395116,0.6710528,0.8551007,0.8976658,0.77909297,0.0057522133,-0.023411106,-0.029488,-0.009572751,-0.06095558,1.1561775,1.1561775,1.2385743,1.4829019,1.7934133,0.9954234,0.9954234,0.9954234,0.9954234,0.9954234,1.0800885,1.1137168,1.1849557,1.273009,1.5469028,1.0141593,1.0460178,1.0707965,1.0858407,1.1650442,0.2,0.1,0.05,0.033333335,0.016666668,0.02846963,0.02846963,0.018822093,0.009388329,0.005735172,0.2,0.6,0.35,0.06666667,0.38333333,1.0,1.0,1.0,1.0,1.0,-0.8,-0.4,-0.65,-0.93333334,-0.6166667,0.8631674,0.28924942,0.2733208,0.38356787,0.61661017,0.6379562,0.11956803,0.13279751,-0.04124306,0.31081367,0.2,0.3,0.45,0.36666667,0.41666666,0.8,0.6,0.5,0.6,0.55,-0.6,-0.3,-0.05,-0.23333333,-0.13333334,0.19696972,0.2371133,0.33777776,0.23155217,0.3755319,0.8030303,0.7628867,0.66222227,0.7684478,0.6244681,-0.60606056,-0.5257734,-0.32444447,-0.53689563,-0.24893615,1.3378125,1.2994934,1.3519305,1.3898926,1.6176813,0.23707816,0.22595894,0.23204172,0.25699756,0.505661,0.50548434,0.8475115,0.75387853,0.77601844,1.0396593,0.45585445,0.4123867,0.45661902,0.44881716,0.4737482,0.5441456,0.58761334,0.543381,0.55118287,0.5262518,-0.088291116,-0.17522664,-0.086761944,-0.10236569,-0.052503593
7,SH600160,0.17479026614493365,0.9166666666666666,-0.01846397,0.4601407051086426,0.4601407051086426,SH600160,巨化股份,2026-07-07,-0.030593164,0.055359036,-0.5526318,0.014984397,0.27067664,0.009781475,0.17669158,-0.035796087,-0.6466169,1.0315586,1.0470159,0.9899098,1.013445,1.1380295,1.0057982,0.8113073,0.7498546,0.74431914,1.097724,1.105513,1.0264078,0.94482076,0.8433794,0.08598552,0.061474714,0.10712248,0.14798726,0.14677778,-0.052211374,-0.0067220153,0.013912885,0.01542126,0.007003341,0.9217637,0.10960172,0.59039307,0.8415748,0.694368,0.006698833,-0.07526386,-0.1585802,-0.16842903,-0.04997792,1.2451702,1.2451702,1.2451702,1.2451702,1.2451702,0.9899098,0.98926425,0.78728265,0.7022123,0.6724518,1.1814948,1.1594168,1.1026477,1.0893927,1.0032163,1.042422,1.0581765,0.939752,0.80947965,0.7326253,0.2,0.1,0.3,0.53333336,0.76666665,0.039528918,0.041951932,0.46456245,0.5484545,0.5719184,0.4,0.7,0.85,0.9,0.95,1.0,0.1,0.05,0.13333334,0.43333334,-0.6,0.6,0.8,0.76666665,0.51666665,0.6743477,0.5747455,0.2357291,0.6488961,0.73335546,0.22847995,0.28516105,0.106369145,0.36512527,0.42536333,0.2,0.5,0.6,0.56666666,0.5,0.8,0.5,0.4,0.43333334,0.5,-0.6,0.0,0.2,0.13333334,0.0,0.23455547,0.49319708,0.6091004,0.6122875,0.58045965,0.7654445,0.5068029,0.3908996,0.38771248,0.41954035,-0.5308891,-0.01360582,0.21820079,0.22457506,0.1609193,1.3711078,1.3623903,1.42819,1.2731713,0.9093915,0.27294976,0.22662134,0.26594713,0.35874552,0.47646606,0.93035823,0.9959172,0.88047254,0.9557375,1.2713629,0.40990102,0.35893354,0.48202077,0.5186567,0.52329993,0.590099,0.64106643,0.5179792,0.48134336,0.4767001,-0.18019795,-0.28213292,-0.035958447,0.03731329,0.046599835
8,SH601600,0.17219992631676095,1.0,-0.009988904,0.08163734525442123,0.08163734525442123,SH601600,中国铝业,2026-07-07,-0.016666668,0.03095235,-0.53846216,0.009523767,0.30769125,0.004761914,0.1538466,-0.021428522,-0.6923068,1.0169492,1.0266343,0.99515736,1.0083511,0.99445057,1.0998889,1.2119867,1.3296336,1.4794672,1.0031077,1.0224195,1.1188124,1.2030706,1.3160932,0.015042843,0.03569216,0.11078108,0.15712555,0.16685446,0.0053274254,-0.008139105,-0.017239824,-0.017062489,-0.008716874,0.31355584,0.4766714,0.8476226,0.91388774,0.83242625,-0.013762481,0.014206461,0.04496593,0.04433547,-0.058945403,1.0532714,1.1071489,1.3391775,1.5090936,1.5493895,0.96803004,0.96803004,0.96803004,0.96803004,0.96803004,1.0115427,1.0395116,1.2233074,1.3664817,1.4608213,0.99156487,0.99400663,1.0062153,1.0246392,1.181576,0.6,0.4,0.2,0.13333334,0.06666667,0.37505198,0.22980309,0.08613815,0.05908723,0.05499171,0.8,0.1,0.25,0.06666667,0.1,0.2,0.6,0.8,0.8666667,0.93333334,0.6,-0.5,-0.55,-0.8,-0.8333333,0.37188837,0.005810384,0.1554025,0.4401294,-0.10975049,0.85855734,-0.12287573,-0.042808723,0.27804944,0.2401109,0.4,0.3,0.35,0.36666667,0.35,0.6,0.6,0.6,0.6,0.6333333,-0.2,-0.3,-0.25,-0.23333333,-0.28333333,0.5396827,0.26063824,0.33448872,0.3656109,0.38923082,0.4603173,0.73936176,0.66551125,0.6343891,0.6107692,0.07936539,-0.47872353,-0.33102256,-0.26877823,-0.2215384,1.4269838,1.4383395,1.5657537,1.7063681,1.4781408,0.259807,0.21639106,0.40574875,0.5026256,0.4672355,0.7301892,0.80442464,0.96303093,1.080226,1.156765,0.24211673,0.3276071,0.46394378,0.5004769,0.4681057,0.75788325,0.6723929,0.5360562,0.4995231,0.5318943,-0.5157665,-0.34478578,-0.07211242,0.0009538094,-0.0637886
9,SH601872,0.16974182342183228,0.8333333333333334,-0.04039693,0.28589823842048645,0.28589823842048645,SH601872,招商轮船,2026-07-07,-0.07481436,0.10165622,-0.7359545,0.023415243,0.23033753,0.003426621,0.03370793,-0.094802976,-0.93258417,1.0808642,1.1061728,0.9962963,1.0308554,1.0843374,1.22927,0.8727853,1.0967399,1.244153,1.040326,1.1305457,1.0760984,1.0374085,1.0772561,0.034229435,0.12631384,0.13050154,0.12314289,0.10010268,-0.0011339536,-0.03647102,0.008165969,0.006944563,-0.0014176214,0.002743665,0.7641972,0.13704154,0.24647495,0.06116866,-0.038058076,0.0335739,-0.15367518,-0.13810457,-0.035436213,1.126246,1.3676587,1.3676587,1.3676587,1.3676587,0.9962963,0.9962963,0.8583896,0.8583896,0.8583896,1.0576186,1.2324592,1.1721474,1.0982281,1.1437987,1.0161587,1.0369241,0.9925585,0.9316796,0.99858254,0.2,0.1,0.25,0.43333334,0.21666667,0.02850112,0.009973306,0.27806586,0.27806586,0.27806586,0.8,0.2,0.6,0.73333335,0.8666667,1.0,1.0,0.05,0.36666667,0.68333334,-0.2,-0.8,0.55,0.36666667,0.18333334,0.7641023,0.14572309,0.31029832,0.42397165,0.4721955,0.8818001,-0.07074095,-0.2257736,-0.18240449,-0.10714589,0.4,0.3,0.55,0.36666667,0.38333333,0.6,0.7,0.45,0.6333333,0.6,-0.2,-0.4,0.1,-0.26666668,-0.21666667,0.31347957,0.31418726,0.5581471,0.4632966,0.44299188,0.6865204,0.6858127,0.44185293,0.5367034,0.5570081,-0.37304083,-0.37162548,0.11629417,-0.07340681,-0.11401622,1.0190343,1.1046717,1.0436832,0.93948483,0.98330706,0.13596371,0.27479213,0.38527247,0.3609123,0.33148864,0.5807177,0.6615554,0.776387,0.92594063,0.973669,0.4994639,0.43111485,0.52147716,0.48482352,0.47931758,0.5005361,0.56888515,0.47852284,0.5151765,0.5206824,-0.0010722275,-0.13777032,0.04295434,-0.030352963,-0.041364845
