,instrument,avg_score,pos_ratio,real_label,error,abs_error,datetime,n1close,n2high
0,SH600016,0.0853973418265965,1.0,0.015450478,0.06994686422649884,0.06994686422649884,2026-03-06,15.169502,15.442771
1,SH601169,0.0781921644865172,1.0,0.0018860102,0.07630615431653429,0.07630615431653429,2026-03-06,0.25395167,0.25490963
2,SH600377,0.0594458601258148,1.0,0.0015926361,0.05785322401741636,0.05785322401741636,2026-03-06,2.9019082,2.9087512
3,SH601229,0.0585985516927298,1.0,-0.002219081,0.060817632617717596,0.060817632617717596,2026-03-06,0.20694329,0.20753507
4,SH601009,0.0523575269952045,1.0,-0.003688693,0.05604622004177432,0.05604622004177432,2026-03-06,1.5551289,1.556287
5,SH600015,0.0505458467478504,1.0,0.013002396,0.037543451117967586,0.037543451117967586,2026-03-06,5.124458,5.205193
6,SH601077,0.046331855606439,0.75,-0.009316802,0.05564865763128031,0.05564865763128031,2026-03-06,0.16075443,0.1606634
7,SH601328,0.0460140271102671,0.75,-0.0043525696,0.050366596690345225,0.050366596690345225,2026-03-06,0.27299124,0.27303803
8,SH601939,0.045584131113174,0.75,-0.013274372,0.05885850273716692,0.05885850273716692,2026-03-06,0.77298826,0.7712361
9,SH601166,0.0449120807702085,0.75,0.009282708,0.035629372602178716,0.035629372602178716,2026-03-06,1.2634194,1.2785906
10,SH601825,0.0432791341848041,1.0,0.007168412,0.03611072197624697,0.03611072197624697,2026-03-06,0.12919591,0.13043444
11,SH600941,0.0429926591309725,1.0,0.0019950867,0.040997572461050624,0.040997572461050624,2026-03-06,0.041664705,0.041756567
12,SH601236,0.0418294834754789,1.0,0.0053191185,0.03651036497572304,0.03651036497572304,2026-03-06,0.4521378,0.45637485
13,SH601816,0.0410323580362759,0.5,0.0018382072,0.03919415079140285,0.03919415079140285,2026-03-06,0.12811203,0.12909119
14,SH601916,0.0407732963635105,0.75,0.0047961473,0.03597714901701392,0.03597714901701392,2026-03-06,0.23387986,0.23457009
15,SZ000895,0.0401007050107672,0.5,-0.0021966696,0.042297374589319446,0.042297374589319446,2026-03-06,63.285553,63.44764
16,SH600919,0.0396695462223191,1.0,-0.0028555393,0.042525085544218515,0.042525085544218515,2026-03-06,0.3591287,0.36016482
