,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH601816,0.1153277322826912,1.0,-0.005376339,0.12070407124143144,0.12070407124143144,SH601816,京沪高铁,2026-03-13,0.13140155,0.13227741
1,SH601838,0.1089913526002091,1.0,0.010229111,0.09876224188243567,0.09876224188243567,SH601838,成都银行,2026-03-13,0.3418678,0.34806702
2,SH600919,0.1075057176899328,1.0,-0.0010946989,0.10860041659587763,0.10860041659587763,SH600919,江苏银行,2026-03-13,0.3748685,0.37747955
3,SH600900,0.0947092512193641,1.0,0.0048202276,0.08988902359637826,0.08988902359637826,SH600900,长江电力,2026-03-13,10.297118,10.377573
4,SH600600,0.0854162403713147,1.0,-0.0005052686,0.08592150894507569,0.08592150894507569,SH600600,青岛啤酒,2026-03-13,2.7646523,2.794341
5,SH600887,0.0848395931678959,1.0,0.0011183023,0.08372129082262002,0.08372129082262002,SH600887,伊利股份,2026-03-13,76.84281,77.44414
6,SH601169,0.08453788793277,1.0,0.0055453777,0.07899251020144676,0.07899251020144676,SH601169,北京银行,2026-03-13,0.25910518,0.26197904
7,SH601009,0.0831823035641179,1.0,0.017663836,0.06551846708493089,0.06551846708493089,SH601009,南京银行,2026-03-13,1.5900626,1.6209745
8,SH600016,0.0817911671019783,1.0,-0.0025653243,0.08435649140846634,0.08435649140846634,SH600016,民生银行,2026-03-13,15.366067,15.482718
9,SH600036,0.0798396333601036,1.0,0.0052565336,0.07458309973736191,0.07458309973736191,SH600036,招商银行,2026-03-13,14.760377,14.926645
10,SH601818,0.0726942516923456,1.0,0.008746386,0.06394786611800478,0.06394786611800478,SH601818,光大银行,2026-03-13,1.0613487,1.076704
11,SH601398,0.07153127585264,1.0,0.019336939,0.05219433699460778,0.05219433699460778,SH601398,工商银行,2026-03-13,4.2002144,4.2873397
12,SH601166,0.071087932748679,1.0,0.009568095,0.061519837541464645,0.061519837541464645,SH601166,兴业银行,2026-03-13,1.3000394,1.3166323
13,SH601658,0.0694971010652503,1.0,0.011494279,0.05800282215747442,0.05800282215747442,SH601658,邮储银行,2026-03-13,0.3012117,0.30577776
14,SZ300999,0.0683459753275756,0.3333333333333333,-0.011609614,0.07995558922299185,0.07995558922299185,,,2026-03-13,0.010291799,0.0103569105
15,SH600690,0.0652505442412857,1.0,0.0060168505,0.05923369376978911,0.05923369376978911,SH600690,海尔智家,2026-03-13,23.431202,23.882345
16,SZ000999,0.0642644659819852,1.0,0.005424857,0.05883960884239779,0.05883960884239779,,,2026-03-13,0.6851287,0.6960667
17,SZ000100,0.0631744829163972,1.0,-0.019373178,0.08254766139845286,0.08254766139845286,,,2026-03-13,1.1473205,1.1594892
18,SZ000725,0.0620813173683906,1.0,-0.011759579,0.07384089655006174,0.07384089655006174,,,2026-03-13,0.24036838,0.24267119
