,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH688396,0.5255145755647516,1.0,-0.02370131,0.5492158857225274,0.5492158857225274,SH688396,华润微,2026-03-13,0.029055433,0.029358078
1,SZ300394,0.5010798664808971,1.0,-0.100170076,0.6012499423742992,0.6012499423742992,,,2026-03-13,32.229614,29.969612
2,SH600482,0.3891243358654717,1.0,-0.019153118,0.4082774539990166,0.4082774539990166,SH600482,中国动力,2026-03-13,7.034408,7.1646748
3,SH600893,0.3387330122166149,1.0,-0.02592212,0.36465513183407705,0.36465513183407705,SH600893,航发动力,2026-03-13,7.1318617,7.194687
4,SH600026,0.3077717972800566,1.0,-0.023328125,0.33109992275689376,0.33109992275689376,SH600026,中远海能,2026-03-13,4.323375,4.452601
5,SZ002001,0.2207714274781405,1.0,-0.054159343,0.27493077072078576,0.27493077072078576,,,2026-03-13,130.3929,129.5179
6,SH600176,0.2180127130106735,1.0,-0.03197068,0.24998339277065273,0.24998339277065273,SH600176,中国巨石,2026-03-13,228.7725,232.38333
7,SH600029,0.2124951126059426,1.0,-0.0028571486,0.21535226125325094,0.21535226125325094,SH600029,南方航空,2026-03-13,1.1869433,1.2244381
8,SH600522,0.2049505292365162,1.0,-0.076375246,0.2813257752844898,0.2813257752844898,SH600522,中天科技,2026-03-13,15.624784,15.868019
9,SH600875,0.1959861839907588,1.0,-0.029154241,0.22514042507581128,0.22514042507581128,SH600875,东方电气,2026-03-13,7.6944146,7.81397
10,SH601872,0.1796516256108648,1.0,-0.015426874,0.19507849977163141,0.19507849977163141,SH601872,招商轮船,2026-03-13,1.2519276,1.2760926
11,SH600115,0.1735882916892258,0.6666666666666666,0.012326717,0.1612615743125168,0.1612615743125168,SH600115,中国东航,2026-03-13,0.5653244,0.58890885
12,SZ002938,0.1666386609461485,1.0,-0.043590605,0.21022926620509014,0.21022926620509014,,,2026-03-13,0.13305463,0.13583593
13,SZ300251,0.1553761329111916,1.0,-0.023985863,0.1793619956431252,0.1793619956431252,,,2026-03-13,2.2415588,2.2429464
14,SZ000792,0.1553427692475722,0.6666666666666666,-0.03159654,0.18693931065229633,0.18693931065229633,,,2026-03-13,12.406247,12.582736
15,SH601117,0.1305872434685197,1.0,-0.018355906,0.14894314947819376,0.14894314947819376,SH601117,中国化学,2026-03-13,0.4988035,0.50614834
16,SZ300442,0.1226516767408718,1.0,-0.026028097,0.1486797734167446,0.1486797734167446,,,2026-03-13,0.4082972,0.4141423
17,SZ002028,0.122235454515145,1.0,0.012690663,0.10954479117743748,0.10954479117743748,,,2026-03-13,138.55568,144.32855
18,SZ002493,0.1153853573055092,1.0,-0.022078156,0.13746351377676164,0.13746351377676164,,,2026-03-13,0.80146444,0.8026995
19,SH601816,0.1153277322826912,1.0,-0.005376339,0.12070407124143144,0.12070407124143144,SH601816,京沪高铁,2026-03-13,0.13140155,0.13227741
20,SZ300418,0.1109864627613245,1.0,-0.038792193,0.14977865569726811,0.14977865569726811,,,2026-03-13,0.96980876,0.98126364
21,SH601838,0.1089913526002091,1.0,0.010229111,0.09876224188243567,0.09876224188243567,SH601838,成都银行,2026-03-13,0.3418678,0.34806702
22,SH600919,0.1075057176899328,1.0,-0.0010946989,0.10860041659587763,0.10860041659587763,SH600919,江苏银行,2026-03-13,0.3748685,0.37747955
23,SH603993,0.1060888666006228,1.0,0.0030846596,0.10300420702420679,0.10300420702420679,SH603993,洛阳钼业,2026-03-13,2.8331184,2.9223008
24,SH600010,0.1024282685950855,0.6666666666666666,-0.014352024,0.11678029219661748,0.11678029219661748,SH600010,包钢股份,2026-03-13,4.8587112,4.9431767
25,SH600900,0.0947092512193641,1.0,0.0048202276,0.08988902359637826,0.08988902359637826,SH600900,长江电力,2026-03-13,10.297118,10.377573
26,SH600233,0.0918336517147831,0.6666666666666666,-0.012682974,0.10451662605331459,0.10451662605331459,SH600233,圆通速递,2026-03-13,1.8238375,1.8356625
