,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,buy_close,sell_high
0,0,SH600026,0.1259428478180949,0.9130434782608696,-0.0019211769,0.12786402472849528,0.12786402472849528,SH600026,中远海能,2026-04-16,3.999726,4.0043626
1,1,SZ300274,0.1069649295226264,1.0,-0.008590996,0.11555592578803778,0.11555592578803778,,,2026-04-16,10.718551,10.868989
2,2,SH601872,0.0685958062033616,1.0,0.026039958,0.042555848203178495,0.042555848203178495,SH601872,招商轮船,2026-04-16,1.3516618,1.3951434
3,3,SH600875,0.0635891613000141,0.8695652173913043,-0.0076437593,0.07123292055065497,0.07123292055065497,SH600875,东方电气,2026-04-16,8.352319,8.538523
4,4,SH600926,0.051495649143951,1.0,-0.0022371411,0.05373279027630574,0.05373279027630574,SH600926,杭州银行,2026-04-16,0.27328822,0.27431247
5,5,SH603259,0.0509359821449541,1.0,-0.059348404,0.11028438655245532,0.11028438655245532,SH603259,药明康德,2026-04-16,0.7076439,0.70368177
6,6,SH600919,0.0473496568865298,1.0,-0.006034076,0.05338373310036647,0.05338373310036647,SH600919,江苏银行,2026-04-16,0.37391368,0.3752357
7,7,SH601825,0.0458063865816445,1.0,-0.0032894611,0.04909584771750876,0.04909584771750876,SH601825,沪农商行,2026-04-16,0.14084138,0.14160423
8,8,SH600115,0.0423850550402561,0.4782608695652174,-0.0016313195,0.04401637456311377,0.04401637456311377,SH600115,中国东航,2026-04-16,0.5340143,0.5358998
9,9,SZ002493,0.0382516566772878,0.8260869565217391,-0.039534032,0.07778568902210592,0.07778568902210592,,,2026-04-16,0.7410383,0.748981
10,10,SZ002142,0.0377482856799273,0.9565217391304348,-0.0050523877,0.04280067339431329,0.04280067339431329,,,2026-04-16,0.3887003,0.39060974
11,11,SZ300896,0.0377455870549821,0.7391304347826086,-0.010646939,0.048392526332631025,0.048392526332631025,,,2026-04-16,0.00708683,0.0070815994
12,12,SH601838,0.0375033497239984,1.0,-0.002448976,0.039952325763884876,0.039952325763884876,SH601838,成都银行,2026-04-16,0.3427527,0.3430583
13,13,SH600036,0.0345762543460472,0.8260869565217391,-0.0097785,0.04435475394931868,0.04435475394931868,SH600036,招商银行,2026-04-16,14.760377,14.756483
14,14,SH600000,0.0340489545800949,1.0,-0.013980091,0.04802904519822845,0.04802904519822845,SH600000,浦发银行,2026-04-16,4.2120457,4.2122154
15,15,SH601328,0.0335060667858445,0.9565217391304348,0.005847931,0.027658135877641377,0.027658135877641377,SH601328,交通银行,2026-04-16,0.2793032,0.2813591
16,16,SH600066,0.0329001193352933,0.9130434782608696,-0.011248767,0.044148886711239343,0.044148886711239343,SH600066,宇通客车,2026-04-16,267.52832,267.89502
17,17,SH601998,0.0326835799894256,0.782608695652174,-0.012331128,0.045014708109847965,0.045014708109847965,SH601998,中信银行,2026-04-16,0.2706162,0.27079543
18,18,SZ000333,0.0324792719046951,0.8260869565217391,0.009627104,0.02285216809915311,0.02285216809915311,,,2026-04-16,1.3889778,1.4130471
19,19,SH601169,0.0318149305789724,0.8695652173913043,-0.001869142,0.03368407263448388,0.03368407263448388,SH601169,北京银行,2026-04-16,0.25618967,0.25664735
20,20,SZ000895,0.0314093195834687,0.8695652173913043,-0.010802269,0.042211588565402296,0.042211588565402296,,,2026-04-16,66.505615,66.66715
21,21,SH600989,0.0308753103149097,0.9565217391304348,-0.014548659,0.045423969639555695,0.045423969639555695,SH600989,宝丰能源,2026-04-16,0.15715523,0.15827492
22,22,SH601939,0.0301162308440469,0.9130434782608696,-0.00424093,0.034357160924460714,0.034357160924460714,SH601939,建设银行,2026-04-16,0.806752,0.81100744
23,23,SH603288,0.0290562439525541,0.6521739130434783,-0.01964569,0.04870193487052285,0.04870193487052285,SH603288,海天味业,2026-04-16,0.7126722,0.71230924
24,24,SH601229,0.0274315844815733,0.9130434782608696,-0.006243229,0.03367481339392682,0.03367481339392682,SH601229,上海银行,2026-04-16,0.2114816,0.2122932
25,25,SH601398,0.0273266189041565,0.9130434782608696,-0.0026853085,0.0300119273605774,0.0300119273605774,SH601398,工商银行,2026-04-16,4.3198915,4.337226
26,26,SH601021,0.0272443281187329,1.0,-0.006011069,0.033255396939686266,0.033255396939686266,SH601021,春秋航空,2026-04-16,0.31558555,0.31536293
27,27,SH600489,0.0268554584722755,0.6086956521739131,-0.0062722564,0.033127714846634626,0.033127714846634626,SH600489,中金黄金,2026-04-16,61.652588,62.06352
28,28,SH600519,0.0264876044316516,0.8695652173913043,-0.038007855,0.06449545984699584,0.06449545984699584,SH600519,贵州茅台,2026-04-16,82.57224,80.21059
29,29,SH601607,0.0254033113878742,0.8695652173913043,-0.008773863,0.03417717470345648,0.03417717470345648,SH601607,上海医药,2026-04-16,1.1114173,1.1113673
30,30,SZ000001,0.025356854426693,0.782608695652174,-0.0072161555,0.032573009955715215,0.032573009955715215,,,2026-04-16,1.2795651,1.2818664
31,31,SH601988,0.02495044444651,1.0,-0.0033422709,0.028292715297645255,0.028292715297645255,SH601988,中国银行,2026-04-16,2.6909537,2.7055044
32,32,SH600015,0.0238687598101078,0.8695652173913043,-0.009630442,0.03349920147575722,0.03349920147575722,SH600015,华夏银行,2026-04-16,5.4087334,5.417092
33,33,SZ003816,0.0236863833218512,0.8695652173913043,-0.0058139563,0.029500339582532353,0.029500339582532353,,,2026-04-16,0.4673995,0.4693756
34,34,SH600999,0.0225979116417247,0.8260869565217391,-0.008890152,0.03148806361926376,0.03148806361926376,SH600999,招商证券,2026-04-16,0.067910604,0.067902744
35,35,SH600741,0.0219088723003639,0.9130434782608696,-0.008733749,0.030642621690012337,0.030642621690012337,SH600741,华域汽车,2026-04-16,26.470678,26.534887
36,36,SH600023,0.0218439423377392,0.782608695652174,-0.005415201,0.02725914352487299,0.02725914352487299,SH600023,浙能电力,2026-04-16,0.28102428,0.28203878
37,37,SH600160,0.0217383795637872,0.6956521739130435,-0.009082198,0.03082057770679257,0.03082057770679257,SH600160,巨化股份,2026-04-16,25.214268,25.2295
38,38,SZ300014,0.0213959735910274,0.8260869565217391,-0.015921354,0.03731732788485064,0.03731732788485064,,,2026-04-16,12.799833,12.886356
39,39,SH601818,0.0208810544555521,0.8260869565217391,-0.006033182,0.026914236599717138,0.026914236599717138,SH601818,光大银行,2026-04-16,1.025451,1.0258985
40,40,SH601059,0.0205698230288445,0.8695652173913043,-0.005241692,0.025811515095037128,0.025811515095037128,SH601059,信达证券,2026-04-16,0.12323612,0.12332478
41,41,SH601058,0.0204985057992647,0.6956521739130435,-0.017419338,0.037917844025583056,0.037917844025583056,SH601058,赛轮轮胎,2026-04-16,4.3131194,4.2934494
42,42,SH601009,0.0196862545931525,0.8695652173913043,0.0,0.0196862545931525,0.0196862545931525,SH601009,南京银行,2026-04-16,1.5592258,1.5648396
43,43,SH601658,0.0194427427900018,0.782608695652174,0.0,0.0194427427900018,0.0194427427900018,SH601658,邮储银行,2026-04-16,0.2983764,0.29955345
44,44,SH601166,0.019149408754432,0.8695652173913043,-0.0113405585,0.030489967283332146,0.030489967283332146,SH601166,兴业银行,2026-04-16,1.2849011,1.2847549
45,45,SZ001979,0.0190915913966552,0.3043478260869565,0.03829789,-0.01920630022016609,0.01920630022016609,,,2026-04-16,0.030123113,0.03183089
46,46,SH601006,0.0173445140594415,0.8260869565217391,-0.007153094,0.024497607874291352,0.024497607874291352,SH601006,大秦铁路,2026-04-16,1.2124966,1.2157885
47,47,SZ000002,0.0167825598248163,0.6086956521739131,0.0,0.0167825598248163,0.0167825598248163,,,2026-04-16,17.0108,17.26854
48,48,SH600150,0.0157655250361011,0.4782608695652174,0.009469986,0.006295539074187038,0.006295539074187038,SH600150,中国船舶,2026-04-16,7.3533134,7.443144
49,49,SH600660,0.0155380026568534,0.8260869565217391,-0.0060859323,0.02162393491164466,0.02162393491164466,SH600660,福耀玻璃,2026-04-16,210.63356,210.31317
50,50,SZ002050,0.0141982683529999,0.2608695652173913,-0.0052381754,0.01943644374515078,0.01943644374515078,,,2026-04-16,154.45627,154.96368
51,51,SZ002601,0.0141869737811826,0.7391304347826086,-0.011703908,0.025890882224633528,0.025890882224633528,,,2026-04-16,0.23599608,0.23680052
52,52,SH600930,0.0140438734212621,0.5652173913043478,-0.0033003092,0.01734418260247548,0.01734418260247548,SH600930,华电新能,2026-04-16,0.118135124,0.11833494
53,53,SH601668,0.0140016786394679,0.8260869565217391,-0.008453131,0.022454809361513797,0.022454809361513797,SH601668,中国建筑,2026-04-16,0.6590431,0.6598061
54,54,SZ002179,0.013974814863579,0.782608695652174,0.0011399984,0.01283481642760488,0.01283481642760488,,,2026-04-16,3.8725078,3.924826
55,55,SZ000807,0.013887970705809,0.391304347826087,0.0068780184,0.0070099523265975735,0.0070099523265975735,,,2026-04-16,53.20903,53.809498
56,56,SH601868,0.012834653606702,0.5652173913043478,0.009900928,0.002933726063061864,0.002933726063061864,SH601868,中国能建,2026-04-16,0.42152894,0.4357203
57,57,SH601225,0.0126460079260739,0.6521739130434783,-0.0075827837,0.020228791625109543,0.020228791625109543,SH601225,陕西煤业,2026-04-16,3.6609075,3.6976826
58,58,SH601916,0.0126044246637144,0.8260869565217391,0.0,0.0126044246637144,0.0126044246637144,SH601916,浙商银行,2026-04-16,0.23422478,0.23500036
59,59,SH601816,0.011876780590274,0.8695652173913043,0.0,0.011876780590274,0.011876780590274,SH601816,京沪高铁,2026-04-16,0.12525614,0.12576428
